video_on,num_clients,topology,vpn,vpn_topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
False,5,tiered,wireguard,ptp,92820,24602548,265.0565395388925,373.6273183093034,144.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,hdumb,ipsec,sts,464453,249266976,536.6893442393525,426.8939547598181,412.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,hdumb,ipsec,sts,453205,247926392,547.0513167330457,426.07761313655686,436.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,5,hdumb,ipsec,sts,448022,246509684,550.2178107325087,428.10532806615726,452.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,hdumb,ipsec,sts,174390,39620664,227.19573370032685,312.2317627885041,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,hdumb,ipsec,sts,180338,40251580,223.2007674477925,307.6708057737226,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,5,hdumb,ipsec,sts,159464,37353960,234.2469773742036,326.0480258074479,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,hdumb,ipsec,sts,74081,19340008,261.0656983572036,365.8729307023255,144.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,hdumb,ipsec,sts,80986,20372068,251.55049020818413,350.7143922743864,144.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,hdumb,ipsec,sts,77503,19779472,255.20911448589086,356.00158781125566,144.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,hdumb,ipsec,sts,220302,120765468,548.1814418389301,436.3835687009461,420.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,hdumb,ipsec,sts,217373,120453636,554.1333836309017,436.83734120575167,432.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,hdumb,ipsec,sts,219929,120744405,549.0153867839166,436.165055000063,420.0,1480,25,14981,599.24,492.3749655157811,638.0,1214,11,2240,203.63636363636363,245.15434841229012,48.0,636,0.0009906689325968425,0.0011513619659265938,0.0006275177001953125,0.004647016525268555
True,5,hdumb,ipsec,ptp,476577,234913130,492.91747188806846,438.6845226477609,360.0,1480,152265,92110244,604.9337930581552,469.79523211334117,824.0,1214,188869,70889298,375.33580418173443,328.177630737844,306.0,1214,0.001301439374768276,0.001356633114161837,0.0009150505065917969,0.0809478759765625
True,5,hdumb,ipsec,ptp,478638,235624286,492.2807758681927,440.15335780097655,357.0,1480,151900,91905248,605.037840684661,469.6958392828134,827.0,1214,191140,70886934,370.8639426598305,328.5094823511583,294.0,1214,0.0013024407861931208,0.001314155440585285,0.0009241104125976562,0.04184913635253906
